dataset,fold_id,method,classifier_accuracy,autoencoder_loss,best_lr,proximity,validity,lof_score,relative_proximity,compactness,pred_margin_weight,step_weight_type,threshold_tau
ItalyPowerDemand,4,No autoencoder,0.9679316097,0,0.001,0.2203486045,1,0.78,0.7937564153,0.1558333333,1,unconstrained,0.5
ItalyPowerDemand,5,1dCNN autoencoder,0.9770642202,0.0007898249314,0.001,0.6474178036,0.84,0.9,2.212265339,0.065,1,unconstrained,0.5
ItalyPowerDemand,5,LSTM autoencoder,0.9770642202,0.004736123607,0.001,0.3675308244,1,0.88,1.255874799,0.1358333333,1,unconstrained,0.5
ItalyPowerDemand,5,No autoencoder,0.9770642202,0,0.001,0.2265410766,1,0.64,0.7741044016,0.1016666667,1,unconstrained,0.5
ItalyPowerDemand,1,1dCNN autoencoder,0.9318181818,0.0006812210777,0.001,0.4277946278,0.78,0.72,1.644139246,0.4966666667,0.5,local,0.5
ItalyPowerDemand,1,LSTM autoencoder,0.9318181818,0.004217699636,0.001,0.3378055731,0.46,0.7,1.298285121,0.1958333333,0.5,local,0.5
ItalyPowerDemand,1,No autoencoder,0.9318181818,0,0.001,0.2233924177,0.64,0.76,0.85856207,0.6366666667,0.5,local,0.5
ItalyPowerDemand,2,1dCNN autoencoder,0.9817764804,0.0006622882793,0.001,0.4660069741,0.96,0.92,1.821151359,0.3275,0.5,local,0.5
ItalyPowerDemand,2,LSTM autoencoder,0.9817764804,0.007744213566,0.001,0.4415649455,0.48,1,1.725632116,0.1125,0.5,local,0.5
ItalyPowerDemand,2,No autoencoder,0.9817764804,0,0.001,0.2355887825,0.78,0.76,0.9206789926,0.3533333333,0.5,local,0.5
ItalyPowerDemand,3,1dCNN autoencoder,0.9449541284,0.0006697608624,0.001,0.2306791475,0.28,0.88,0.9650241247,0.6783333333,0.5,local,0.5
ItalyPowerDemand,3,LSTM autoencoder,0.9449541284,0.003975836094,0.001,0.2531024412,0.48,0.68,1.058829827,0.3041666667,0.5,local,0.5
ItalyPowerDemand,3,No autoencoder,0.9449541284,0,0.001,0.2824244775,0.7,0.9,1.181495758,0.7466666667,0.5,local,0.5
ItalyPowerDemand,4,1dCNN autoencoder,0.9679316097,0.0007901351782,0.001,0.4634645,0.64,0.82,1.669526889,0.5533333333,0.5,local,0.5
ItalyPowerDemand,4,LSTM autoencoder,0.9679316097,0.005067805294,0.001,0.3100464583,0.46,0.8,1.116872811,0.2416666667,0.5,local,0.5
ItalyPowerDemand,4,No autoencoder,0.9679316097,0,0.001,0.3389195937,0.62,0.86,1.220881804,0.74,0.5,local,0.5
ItalyPowerDemand,5,1dCNN autoencoder,0.9770642202,0.0007898249314,0.001,0.4092653382,0.62,0.82,1.398484127,0.3858333333,0.5,local,0.5
ItalyPowerDemand,5,LSTM autoencoder,0.9770642202,0.004736123607,0.001,0.3458298327,0.94,0.84,1.181721213,0.1525,0.5,local,0.5
ItalyPowerDemand,5,No autoencoder,0.9770642202,0,0.001,0.2256653607,0.84,0.66,0.771112028,0.3791666667,0.5,local,0.5
ItalyPowerDemand,1,1dCNN autoencoder,0.9318181818,0.0006812210777,0.001,0.2522983574,0.94,0.54,0.9696560083,0.5666666667,0.5,global,0.5
ItalyPowerDemand,1,LSTM autoencoder,0.9318181818,0.004217699636,0.001,0.315755601,0.46,0.62,1.213540662,0.2266666667,0.5,global,0.5
ItalyPowerDemand,1,No autoencoder,0.9318181818,0,0.001,0.2005119471,0.84,0.62,0.7706257634,0.665,0.5,global,0.5
ItalyPowerDemand,2,1dCNN autoencoder,0.9817764804,0.0006622882793,0.001,0.3611701097,0.94,0.76,1.41144977,0.4241666667,0.5,global,0.5
ItalyPowerDemand,2,LSTM autoencoder,0.9817764804,0.007744213566,0.001,0.4332267768,0.48,1,1.693046622,0.1341666667,0.5,global,0.5
ItalyPowerDemand,2,No autoencoder,0.9817764804,0,0.001,0.2039235059,0.86,0.58,0.7969313565,0.4583333333,0.5,global,0.5
ItalyPowerDemand,3,1dCNN autoencoder,0.9449541284,0.0006697608624,0.001,0.1807282034,0.34,0.74,0.7560591331,0.6558333333,0.5,global,0.5
ItalyPowerDemand,3,LSTM autoencoder,0.9449541284,0.003975836094,0.001,0.2414408597,0.48,0.74,1.010044717,0.3183333333,0.5,global,0.5
ItalyPowerDemand,3,No autoencoder,0.9449541284,0,0.001,0.1877102875,0.9,0.72,0.7852680133,0.7308333333,0.5,global,0.5
ItalyPowerDemand,4,1dCNN autoencoder,0.9679316097,0.0007901351782,0.001,0.2671035416,0.52,0.64,0.9621805872,0.59,0.5,global,0.5
ItalyPowerDemand,4,LSTM autoencoder,0.9679316097,0.005067805294,0.001,0.3062407299,0.44,0.82,1.103163528,0.28,0.5,global,0.5
ItalyPowerDemand,4,No autoencoder,0.9679316097,0,0.001,0.2396887956,0.94,0.72,0.863425115,0.7258333333,0.5,global,0.5
ItalyPowerDemand,5,1dCNN autoencoder,0.9770642202,0.0007898249314,0.001,0.3693335391,0.62,0.72,1.262034782,0.4858333333,0.5,global,0.5
ItalyPowerDemand,5,LSTM autoencoder,0.9770642202,0.004736123607,0.001,0.3490505023,0.92,0.92,1.192726433,0.1525,0.5,global,0.5
ItalyPowerDemand,5,No autoencoder,0.9770642202,0,0.001,0.20122407,0.8,0.52,0.6875946765,0.4741666667,0.5,global,0.5
ItalyPowerDemand,1,1dCNN autoencoder,0.9318181818,0.0006812210777,0.001,0.1620993102,0.28,0.54,0.6229948212,0.7083333333,0.5,uniform,0.5
ItalyPowerDemand,1,LSTM autoencoder,0.9318181818,0.004217699636,0.001,0.303455061,0.46,0.66,1.166266107,0.2308333333,0.5,uniform,0.5
ItalyPowerDemand,1,No autoencoder,0.9318181818,0,0.001,0.1463883121,0.16,0.62,0.5626128835,0.7975,0.5,uniform,0.5
ItalyPowerDemand,2,1dCNN autoencoder,0.9817764804,0.0006622882793,0.001,0.225051873,0.72,0.52,0.8795008383,0.4225,0.5,uniform,0.5
ItalyPowerDemand,2,LSTM autoencoder,0.9817764804,0.007744213566,0.001,0.4318474043,0.48,1,1.687656046,0.1383333333,0.5,uniform,0.5
ItalyPowerDemand,2,No autoencoder,0.9817764804,0,0.001,0.09980762196,0.46,0.64,0.3900473523,0.6433333333,0.5,uniform,0.5
ItalyPowerDemand,3,1dCNN autoencoder,0.9449541284,0.0006697608624,0.001,0.04788858255,0.14,0.76,0.2003372995,0.8641666667,0.5,uniform,0.5
ItalyPowerDemand,3,LSTM autoencoder,0.9449541284,0.003975836094,0.001,0.2247004756,0.48,0.64,0.9400129234,0.335,0.5,uniform,0.5
