dataset,method,classifier_accuracy,autoencoder_loss,best_lr,proximity,validity,margin_mean,margin_std,pred_margin_weight,step_weight_type
ProximalPhalanxOutlineCorrect,LSTM autoencoder,0.8888409548,0.004591348115,0.0001,0.4934657356,0,-0.5,0,0.5,uniform
ProximalPhalanxOutlineCorrect,LSTM autoencoder,0.8888409548,0.004591348115,0.0001,0.5213384897,0,-0.5,0,0.5,example-specific
ProximalPhalanxOutlineCorrect,LSTM autoencoder,0.8888409548,0.004590641707,0.0001,0.5039531472,0,-0.5,0,0.5,global
ProximalPhalanxOutlineCorrect,No autoencoder,0.8888409548,0,0.0001,0.02195951555,0.9152542373,-0.024945635,0.10995725,1,
ProximalPhalanxOutlineCorrect,No autoencoder,0.8888409548,0,0.0001,0.009651984842,0.593220339,-0.1947166,0.24401447,0.5,uniform
ProximalPhalanxOutlineCorrect,No autoencoder,0.8888409548,0,0.0001,0.0223413913,0.8983050847,-0.024334224,0.110233195,0.5,example-specific
ProximalPhalanxOutlineCorrect,No autoencoder,0.8888409548,0,0.0001,0.02531738966,0.9152542373,-0.02595367,0.112631775,0.5,global
PowerCons,1dCNN autoencoder,1,0.0005130179925,0.001,2.186173705,1,0.0004423393,0.00030847694,1,
PowerCons,1dCNN autoencoder,1,0.0005130179925,0.001,0.9928652712,0.1666666667,-0.018569557,0.010234842,0.5,uniform
PowerCons,1dCNN autoencoder,1,0.0005130179925,0.001,1.255062309,1,0.0005294118,0.00026323012,0.5,example-specific
PowerCons,1dCNN autoencoder,1,0.0005130179925,0.001,1.2754408,1,0.00052622956,0.00027799304,0.5,global
PowerCons,LSTM autoencoder,1,0.02223513834,0.001,2.081329705,1,0.000549025,0.00028596842,1,
PowerCons,LSTM autoencoder,1,0.02223513834,0.001,1.963416352,0.25,-0.034337692,0.027211944,0.5,uniform
PowerCons,LSTM autoencoder,1,0.02223513834,0.001,1.99337218,0.3888888889,-0.014678051,0.021643283,0.5,example-specific
PowerCons,LSTM autoencoder,1,0.02223513834,0.001,1.986744303,0.3611111111,-0.017228048,0.02242469,0.5,global
PowerCons,No autoencoder,1,0,0.001,0.9607863662,1,0.00069104467,0.0014060183,1,
PowerCons,No autoencoder,1,0,0.001,0.6513503173,0.08333333333,-0.025344733,0.010593317,0.5,uniform
PowerCons,No autoencoder,1,0,0.001,0.8133228002,0.1944444444,-0.010456614,0.009461926,0.5,example-specific
PowerCons,No autoencoder,1,0,0.001,0.821996172,0.3055555556,-0.00770467,0.008172981,0.5,global
PhalangesOutlinesCorrect,1dCNN autoencoder,0.8074448529,7.38E-05,0.0001,0.1811413561,0.8242424242,-0.05067518,0.19588892,1,
PhalangesOutlinesCorrect,1dCNN autoencoder,0.8074448529,7.38E-05,0.0001,0.1289993069,0.7818181818,-0.0756127,0.24323963,0.5,uniform
PhalangesOutlinesCorrect,1dCNN autoencoder,0.8074448529,7.38E-05,0.0001,0.1551454804,0.7939393939,-0.066377394,0.23707478,0.5,example-specific
PhalangesOutlinesCorrect,1dCNN autoencoder,0.8074448529,7.38E-05,0.0001,0.1563305872,0.8606060606,-0.03802788,0.2063239,0.5,global
